Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-May-25,Monday,May,2025,Q2,EQ,324.90,327.10,318.55,323.65,321.00,320.85,321.88,617.30,297.00,8612919.00,2772292961.55,106504.00
23-May-25,Friday,May,2025,Q2,EQ,317.05,326.50,311.45,315.05,322.75,323.65,321.10,617.30,297.00,14197901.00,4558929508.50,131623.00
22-May-25,Thursday,May,2025,Q2,EQ,311.05,318.20,310.15,313.80,314.55,315.05,315.40,617.30,297.00,7794455.00,2458343043.85,71158.00
21-May-25,Wednesday,May,2025,Q2,EQ,313.65,315.00,308.70,311.35,313.85,313.80,311.41,617.30,297.00,14723896.00,4585219643.15,99447.00
20-May-25,Tuesday,May,2025,Q2,EQ,325.00,325.30,310.15,323.50,311.80,311.35,315.75,617.30,297.00,17531661.00,5535641003.55,141198.00
19-May-25,Monday,May,2025,Q2,EQ,321.80,328.80,319.20,321.20,324.00,323.50,324.14,617.30,297.00,19845567.00,6432725033.70,165490.00
16-May-25,Friday,May,2025,Q2,EQ,317.80,327.20,315.30,316.25,320.85,321.20,323.16,617.30,297.00,23405796.00,7563853752.70,231583.00
15-May-25,Thursday,May,2025,Q2,EQ,310.00,318.15,308.15,307.30,315.55,316.25,313.94,617.30,297.00,24138544.00,7578043922.15,201992.00
14-May-25,Wednesday,May,2025,Q2,EQ,313.20,313.40,306.00,310.55,308.15,307.30,309.18,617.30,297.00,23571274.00,7287837654.50,234735.00
13-May-25,Tuesday,May,2025,Q2,EQ,305.00,315.70,297.00,320.30,310.40,310.55,306.92,617.30,297.00,99269069.00,30467674268.90,496760.00
12-May-25,Monday,May,2025,Q2,EQ,319.40,325.00,306.25,313.10,320.40,320.30,317.30,617.30,303.00,22530437.00,7148885909.45,187414.00
09-May-25,Friday,May,2025,Q2,EQ,306.00,314.60,303.60,315.20,314.40,313.10,309.53,617.30,303.00,7752428.00,2399593224.15,96893.00
08-May-25,Thursday,May,2025,Q2,EQ,332.90,335.35,311.55,328.80,313.40,315.20,323.63,617.30,303.00,7026155.00,2273863289.70,75446.00
07-May-25,Wednesday,May,2025,Q2,EQ,322.05,338.75,322.05,342.50,329.15,328.80,328.66,617.30,303.00,12816563.00,4212257547.55,118967.00
06-May-25,Tuesday,May,2025,Q2,EQ,337.00,344.90,332.60,343.95,340.80,342.50,339.69,617.30,303.00,18751451.00,6369594741.55,165304.00
05-May-25,Monday,May,2025,Q2,EQ,310.00,356.65,304.20,305.30,343.00,343.95,332.39,617.30,303.00,44623517.00,14832625444.25,300429.00
02-May-25,Friday,May,2025,Q2,EQ,314.00,317.90,303.00,316.40,305.40,305.30,307.32,617.30,303.00,8692148.00,2671312047.45,101355.00
30-Apr-25,Wednesday,April,2025,Q2,EQ,326.85,326.85,309.15,319.85,316.05,316.40,317.01,617.30,306.95,8197937.00,2598812161.65,79533.00
29-Apr-25,Tuesday,April,2025,Q2,EQ,327.40,328.35,318.50,323.75,319.65,319.85,322.71,617.30,306.95,2140615.00,690807796.40,29164.00
28-Apr-25,Monday,April,2025,Q2,EQ,322.10,328.70,319.70,321.40,324.00,323.75,323.45,617.30,306.95,4572731.00,1479033408.85,69200.00
25-Apr-25,Friday,April,2025,Q2,EQ,342.10,343.35,320.00,340.60,320.35,321.40,328.16,617.30,306.95,6237853.00,2047037520.00,69066.00
24-Apr-25,Thursday,April,2025,Q2,EQ,344.25,351.45,339.30,348.05,340.00,340.60,343.15,617.30,306.95,5934561.00,2036432316.85,60514.00
23-Apr-25,Wednesday,April,2025,Q2,EQ,344.80,349.45,339.45,343.35,349.00,348.05,344.61,617.30,306.95,4461816.00,1537582496.65,51567.00
22-Apr-25,Tuesday,April,2025,Q2,EQ,343.85,345.65,338.55,343.85,344.00,343.35,341.81,617.30,306.95,7967985.00,2723569411.50,67868.00
21-Apr-25,Monday,April,2025,Q2,EQ,342.45,347.40,341.65,340.80,343.85,343.85,344.02,617.30,306.95,3326600.00,1144430500.55,42350.00
17-Apr-25,Thursday,April,2025,Q2,EQ,337.00,350.70,329.45,336.25,341.80,340.80,341.65,617.30,306.95,10107653.00,3453277859.70,92180.00
16-Apr-25,Wednesday,April,2025,Q2,EQ,334.50,340.60,334.25,334.00,336.05,336.25,337.39,617.30,306.95,5653384.00,1907397660.20,54332.00
15-Apr-25,Tuesday,April,2025,Q2,EQ,338.00,342.80,332.80,333.00,334.50,334.00,337.17,617.30,306.95,2904801.00,979416015.80,52281.00
11-Apr-25,Friday,April,2025,Q2,EQ,347.00,347.10,331.35,339.75,334.15,333.00,335.17,617.30,306.95,6373180.00,2136086296.80,52617.00
09-Apr-25,Wednesday,April,2025,Q2,EQ,331.00,345.00,329.40,333.30,339.90,339.75,339.26,617.30,306.95,8437070.00,2862391934.80,81721.00
08-Apr-25,Tuesday,April,2025,Q2,EQ,329.00,334.60,322.55,321.70,333.95,333.30,328.58,617.30,306.95,6086723.00,1999954303.25,102704.00
07-Apr-25,Monday,April,2025,Q2,EQ,310.00,327.45,306.95,337.35,326.90,321.70,320.38,617.30,306.95,6536264.00,2094093881.80,98582.00
04-Apr-25,Friday,April,2025,Q2,EQ,342.00,346.60,335.10,345.15,337.00,337.35,339.42,617.30,312.65,3339600.00,1133511169.55,50011.00
03-Apr-25,Thursday,April,2025,Q2,EQ,341.00,349.50,338.15,344.60,345.45,345.15,344.77,617.30,312.65,3395256.00,1170583673.50,45619.00
02-Apr-25,Wednesday,April,2025,Q2,EQ,330.00,351.40,328.80,331.90,345.50,344.60,343.18,617.30,312.65,10629913.00,3647941012.85,120942.00
01-Apr-25,Tuesday,April,2025,Q2,EQ,328.70,339.30,325.50,330.20,331.05,331.90,332.76,617.30,312.65,5731994.00,1907357416.20,65625.00
28-Mar-25,Friday,March,2025,Q1,EQ,335.00,342.20,326.55,335.75,328.35,330.20,334.54,617.30,312.65,10683126.00,3573953212.80,111085.00
27-Mar-25,Thursday,March,2025,Q1,EQ,323.85,341.00,312.65,323.85,328.00,335.75,327.43,617.30,312.65,19591307.00,6414817576.40,158779.00
