Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-Apr-25,Wednesday,April,2025,Q2,EQ,347.95,347.95,320.85,345.30,326.65,326.70,328.77,714.80,210.20,232947.00,76586786.05,8766.00
08-Apr-25,Tuesday,April,2025,Q2,EQ,354.40,357.75,340.05,341.70,346.00,345.30,346.79,714.80,210.20,242446.00,84077378.20,8756.00
07-Apr-25,Monday,April,2025,Q2,EQ,331.00,344.90,330.60,367.30,342.05,341.70,337.06,714.80,210.20,302225.00,101868545.80,7974.00
04-Apr-25,Friday,April,2025,Q2,EQ,401.35,405.90,367.30,386.60,367.30,367.30,391.94,714.80,210.20,1156388.00,453240464.15,11537.00
03-Apr-25,Thursday,April,2025,Q2,EQ,367.90,386.60,364.25,368.20,386.60,386.60,378.58,714.80,210.20,110190.00,41715961.55,3683.00
02-Apr-25,Wednesday,April,2025,Q2,EQ,379.00,380.05,360.10,370.40,367.30,368.20,366.93,714.80,210.20,231117.00,84802630.45,9026.00
01-Apr-25,Tuesday,April,2025,Q2,EQ,361.95,373.00,361.95,360.25,370.95,370.40,368.34,714.80,210.20,199218.00,73379829.50,11811.00
28-Mar-25,Friday,March,2025,Q1,EQ,373.00,373.90,355.50,365.00,358.00,360.25,364.16,714.80,210.20,205028.00,74663402.75,6022.00
27-Mar-25,Thursday,March,2025,Q1,EQ,355.10,368.00,350.60,356.15,364.70,365.00,359.02,714.80,210.20,364990.00,131037223.15,9346.00
26-Mar-25,Wednesday,March,2025,Q1,EQ,366.55,370.20,355.00,366.55,355.10,356.15,360.73,714.80,210.20,246313.00,88852364.60,6512.00
25-Mar-25,Tuesday,March,2025,Q1,EQ,373.95,377.00,360.70,370.20,365.60,366.55,366.35,714.80,210.20,515574.00,188879804.30,13097.00
24-Mar-25,Monday,March,2025,Q1,EQ,364.95,377.50,355.40,359.55,370.50,370.20,371.23,714.80,210.20,745984.00,276934259.20,10314.00
21-Mar-25,Friday,March,2025,Q1,EQ,349.00,374.85,340.45,358.35,360.50,359.55,360.23,714.80,210.20,642316.00,231378369.65,15500.00
20-Mar-25,Thursday,March,2025,Q1,EQ,355.15,364.60,349.00,352.85,357.00,358.35,356.89,714.80,210.20,347433.00,123993997.80,7661.00
19-Mar-25,Wednesday,March,2025,Q1,EQ,354.95,366.70,345.15,349.25,351.00,352.85,356.52,714.80,210.20,888066.00,316616605.95,12734.00
18-Mar-25,Tuesday,March,2025,Q1,EQ,332.65,349.25,332.65,332.65,349.25,349.25,347.22,714.80,210.20,177244.00,61542920.80,1949.00
17-Mar-25,Monday,March,2025,Q1,EQ,333.50,344.40,326.35,332.10,329.80,332.65,336.61,714.80,210.20,228943.00,77064521.50,6903.00
13-Mar-25,Thursday,March,2025,Q1,EQ,340.05,345.15,329.00,338.35,333.00,332.10,334.35,714.80,209.80,255971.00,85583167.60,8936.00
12-Mar-25,Wednesday,March,2025,Q1,EQ,344.50,355.10,336.35,348.35,337.95,338.35,342.30,714.80,209.80,226908.00,77671436.80,5980.00
11-Mar-25,Tuesday,March,2025,Q1,EQ,353.70,360.00,339.25,357.10,352.40,348.35,351.15,714.80,209.80,292265.00,102628540.60,8300.00
10-Mar-25,Monday,March,2025,Q1,EQ,379.00,389.70,353.70,372.15,355.30,357.10,367.84,714.80,209.80,397301.00,146143101.70,10005.00
